# layer class subject_idx subject_id channel_idx channel_name value
conv1 Left 3 9 23 FC4 1.45867314e+04
conv1 Left 4 40 23 FC4 2.72085117e+04
conv1 Left 5 7 23 FC4 2.79490977e+04
conv1 Left 6 41 23 FC4 2.51822891e+04
conv1 Left 7 49 23 FC4 2.72247500e+04
conv1 Left 8 3 23 FC4 3.32793516e+04
conv1 Left 9 8 23 FC4 1.99028730e+04

conv1 Left 0 13 24 FC6 2.01377773e+04
conv1 Left 1 50 24 FC6 3.13035176e+04
conv1 Left 2 12 24 FC6 2.05524004e+04
conv1 Left 3 9 24 FC6 1.41860664e+04
conv1 Left 4 40 24 FC6 2.66284199e+04
conv1 Left 5 7 24 FC6 2.75643047e+04
conv1 Left 6 41 24 FC6 2.45870312e+04
conv1 Left 7 49 24 FC6 2.65694668e+04
conv1 Left 8 3 24 FC6 3.28710781e+04
conv1 Left 9 8 24 FC6 1.95576309e+04

conv1 Left 0 13 25 FT8 2.13293164e+04
conv1 Left 1 50 25 FT8 3.29466602e+04
conv1 Left 2 12 25 FT8 2.20139336e+04
conv1 Left 3 9 25 FT8 1.53491299e+04
conv1 Left 4 40 25 FT8 2.86889824e+04
conv1 Left 5 7 25 FT8 2.92644277e+04
conv1 Left 6 41 25 FT8 2.66825098e+04
conv1 Left 7 49 25 FT8 2.85919922e+04
conv1 Left 8 3 25 FT8 3.49719609e+04
conv1 Left 9 8 25 FT8 2.06247109e+04

conv1 Left 0 13 26 T7 2.20434082e+04
conv1 Left 1 50 26 T7 3.44034883e+04
conv1 Left 2 12 26 T7 2.24913047e+04
conv1 Left 3 9 26 T7 1.58914727e+04
conv1 Left 4 40 26 T7 2.96024121e+04
conv1 Left 5 7 26 T7 3.01195605e+04
conv1 Left 6 41 26 T7 2.80547285e+04
conv1 Left 7 49 26 T7 2.94743594e+04
conv1 Left 8 3 26 T7 3.62957617e+04
conv1 Left 9 8 26 T7 2.11893086e+04

conv1 Left 0 13 27 C5 2.01358086e+04
conv1 Left 1 50 27 C5 3.12704102e+04
conv1 Left 2 12 27 C5 2.05807539e+04
conv1 Left 3 9 27 C5 1.40805801e+04
conv1 Left 4 40 27 C5 2.64959609e+04
conv1 Left 5 7 27 C5 2.74967793e+04
conv1 Left 6 41 27 C5 2.48342969e+04
conv1 Left 7 49 27 C5 2.64254434e+04
conv1 Left 8 3 27 C5 3.28454258e+04
conv1 Left 9 8 27 C5 1.95806953e+04

conv1 Left 0 13 28 C3 2.04884004e+04
conv1 Left 1 50 28 C3 3.17687188e+04
conv1 Left 2 12 28 C3 2.12240137e+04
conv1 Left 3 9 28 C3 1.45986641e+04
conv1 Left 4 40 28 C3 2.73614238e+04
conv1 Left 5 7 28 C3 2.79230000e+04
conv1 Left 6 41 28 C3 2.54342598e+04
conv1 Left 7 49 28 C3 2.72636074e+04
conv1 Left 8 3 28 C3 3.33941836e+04
conv1 Left 9 8 28 C3 2.01288281e+04

conv1 Left 0 13 29 C1 2.04160898e+04
conv1 Left 1 50 29 C1 3.17753887e+04
conv1 Left 2 12 29 C1 2.07867070e+04
conv1 Left 3 9 29 C1 1.42976777e+04
conv1 Left 4 40 29 C1 2.70992109e+04
conv1 Left 5 7 29 C1 2.77948477e+04
conv1 Left 6 41 29 C1 2.49043086e+04
conv1 Left 7 49 29 C1 2.68746250e+04
conv1 Left 8 3 29 C1 3.32030117e+04
conv1 Left 9 8 29 C1 1.99292812e+04

conv1 Left 0 13 30 Cz 2.04443965e+04
conv1 Left 1 50 30 Cz 3.19266309e+04
conv1 Left 2 12 30 Cz 2.08302578e+04
conv1 Left 3 9 30 Cz 1.44429492e+04
conv1 Left 4 40 30 Cz 2.70349355e+04
conv1 Left 5 7 30 Cz 2.78934238e+04
conv1 Left 6 41 30 Cz 2.50773906e+04
conv1 Left 7 49 30 Cz 2.71501582e+04
conv1 Left 8 3 30 Cz 3.33654609e+04
conv1 Left 9 8 30 Cz 1.98151328e+04

conv1 Left 0 13 31 C2 2.06354316e+04
conv1 Left 1 50 31 C2 3.21010508e+04
conv1 Left 2 12 31 C2 2.10024922e+04
conv1 Left 3 9 31 C2 1.43680850e+04
conv1 Left 4 40 31 C2 2.70258770e+04
conv1 Left 5 7 31 C2 2.81314062e+04
conv1 Left 6 41 31 C2 2.52608711e+04
conv1 Left 7 49 31 C2 2.71733164e+04
conv1 Left 8 3 31 C2 3.36892773e+04
conv1 Left 9 8 31 C2 1.99225215e+04

conv1 Left 0 13 32 C4 2.05591289e+04
conv1 Left 1 50 32 C4 3.19540840e+04
conv1 Left 2 12 32 C4 2.10099395e+04
conv1 Left 3 9 32 C4 1.42715674e+04
conv1 Left 4 40 32 C4 2.68955078e+04
conv1 Left 5 7 32 C4 2.81353555e+04
conv1 Left 6 41 32 C4 2.52995684e+04
conv1 Left 7 49 32 C4 2.70279551e+04
conv1 Left 8 3 32 C4 3.36135547e+04
conv1 Left 9 8 32 C4 1.99853613e+04

conv1 Left 0 13 33 C6 2.01502129e+04
conv1 Left 1 50 33 C6 3.14791133e+04
conv1 Left 2 12 33 C6 2.05725117e+04
conv1 Left 3 9 33 C6 1.40647578e+04
conv1 Left 4 40 33 C6 2.64502812e+04
conv1 Left 5 7 33 C6 2.76281660e+04
conv1 Left 6 41 33 C6 2.46219668e+04
conv1 Left 7 49 33 C6 2.63909746e+04
conv1 Left 8 3 33 C6 3.30069336e+04
conv1 Left 9 8 33 C6 1.95737227e+04

conv1 Left 0 13 34 T8 2.15398809e+04
conv1 Left 1 50 34 T8 3.33909297e+04
conv1 Left 2 12 34 T8 2.24406035e+04
conv1 Left 3 9 34 T8 1.50771201e+04
conv1 Left 4 40 34 T8 2.85559453e+04
conv1 Left 5 7 34 T8 2.94821289e+04
conv1 Left 6 41 34 T8 2.73185234e+04
conv1 Left 7 49 34 T8 2.85088770e+04
conv1 Left 8 3 34 T8 3.54082109e+04
conv1 Left 9 8 34 T8 2.09843027e+04

conv1 Left 0 13 35 TP7 2.19773691e+04
conv1 Left 1 50 35 TP7 3.45925664e+04
conv1 Left 2 12 35 TP7 2.25277461e+04
conv1 Left 3 9 35 TP7 1.53125391e+04
conv1 Left 4 40 35 TP7 2.91342031e+04
conv1 Left 5 7 35 TP7 2.99437207e+04
conv1 Left 6 41 35 TP7 2.73944590e+04
conv1 Left 7 49 35 TP7 2.89798477e+04
conv1 Left 8 3 35 TP7 3.63383516e+04
conv1 Left 9 8 35 TP7 2.12225801e+04

conv1 Left 0 13 36 CP5 2.00852969e+04
conv1 Left 1 50 36 CP5 3.13062832e+04
conv1 Left 2 12 36 CP5 2.06909336e+04
conv1 Left 3 9 36 CP5 1.42406719e+04
conv1 Left 4 40 36 CP5 2.64661602e+04
conv1 Left 5 7 36 CP5 2.75241191e+04
conv1 Left 6 41 36 CP5 2.46990723e+04
conv1 Left 7 49 36 CP5 2.65477188e+04
conv1 Left 8 3 36 CP5 3.29326523e+04
conv1 Left 9 8 36 CP5 1.96886641e+04

conv1 Left 0 13 37 CP3 2.02748301e+04
conv1 Left 1 50 37 CP3 3.17548750e+04
conv1 Left 2 12 37 CP3 2.11622305e+04
conv1 Left 3 9 37 CP3 1.48133828e+04
conv1 Left 4 40 37 CP3 2.72161152e+04
conv1 Left 5 7 37 CP3 2.79165078e+04
conv1 Left 6 41 37 CP3 2.52235840e+04
conv1 Left 7 49 37 CP3 2.72018613e+04
conv1 Left 8 3 37 CP3 3.34015352e+04
conv1 Left 9 8 37 CP3 2.01075234e+04

conv1 Left 0 13 38 CP1 2.02665508e+04
conv1 Left 1 50 38 CP1 3.18192480e+04
conv1 Left 2 12 38 CP1 2.07524844e+04
conv1 Left 3 9 38 CP1 1.42101904e+04
conv1 Left 4 40 38 CP1 2.70353281e+04
conv1 Left 5 7 38 CP1 2.78231250e+04
conv1 Left 6 41 38 CP1 2.48011719e+04
conv1 Left 7 49 38 CP1 2.66787656e+04
conv1 Left 8 3 38 CP1 3.32224727e+04
conv1 Left 9 8 38 CP1 1.98982578e+04

conv1 Left 0 13 39 CPz 2.04511309e+04
conv1 Left 1 50 39 CPz 3.20902754e+04
conv1 Left 2 12 39 CPz 2.07771914e+04
conv1 Left 3 9 39 CPz 1.43727393e+04
conv1 Left 4 40 39 CPz 2.71864258e+04
conv1 Left 5 7 39 CPz 2.82060020e+04
conv1 Left 6 41 39 CPz 2.50749531e+04
conv1 Left 7 49 39 CPz 2.69237598e+04
conv1 Left 8 3 39 CPz 3.35669297e+04
conv1 Left 9 8 39 CPz 2.00414746e+04

conv1 Left 0 13 40 CP2 2.03079609e+04
conv1 Left 1 50 40 CP2 3.18229277e+04
conv1 Left 2 12 40 CP2 2.06974727e+04
conv1 Left 3 9 40 CP2 1.40223730e+04
conv1 Left 4 40 40 CP2 2.66527305e+04
conv1 Left 5 7 40 CP2 2.79652305e+04
conv1 Left 6 41 40 CP2 2.47904180e+04
conv1 Left 7 49 40 CP2 2.65584297e+04
conv1 Left 8 3 40 CP2 3.31608242e+04
conv1 Left 9 8 40 CP2 1.99156602e+04

conv1 Left 0 13 41 CP4 2.03669570e+04
conv1 Left 1 50 41 CP4 3.14281699e+04
conv1 Left 2 12 41 CP4 2.07230527e+04
conv1 Left 3 9 41 CP4 1.42043799e+04
conv1 Left 4 40 41 CP4 2.66369219e+04
conv1 Left 5 7 41 CP4 2.78876523e+04
conv1 Left 6 41 41 CP4 2.47537090e+04
conv1 Left 7 49 41 CP4 2.63480605e+04
conv1 Left 8 3 41 CP4 3.30986211e+04
conv1 Left 9 8 41 CP4 1.99360176e+04

conv1 Left 0 13 42 CP6 1.99213145e+04
conv1 Left 1 50 42 CP6 3.13325645e+04
conv1 Left 2 12 42 CP6 2.05257441e+04
conv1 Left 3 9 42 CP6 1.43209775e+04
conv1 Left 4 40 42 CP6 2.62754629e+04
conv1 Left 5 7 42 CP6 2.75667910e+04
conv1 Left 6 41 42 CP6 2.44239043e+04
conv1 Left 7 49 42 CP6 2.64008809e+04
conv1 Left 8 3 42 CP6 3.28027305e+04
conv1 Left 9 8 42 CP6 1.96427578e+04

conv1 Left 0 13 43 TP8 2.19244043e+04
conv1 Left 1 50 43 TP8 3.22289609e+04
conv1 Left 2 12 43 TP8 2.19564922e+04
conv1 Left 3 9 43 TP8 1.42059902e+04
conv1 Left 4 40 43 TP8 2.78390996e+04
conv1 Left 5 7 43 TP8 2.90885977e+04
conv1 Left 6 41 43 TP8 2.57411504e+04
conv1 Left 7 49 43 TP8 2.64128594e+04
conv1 Left 8 3 43 TP8 3.43066719e+04
conv1 Left 9 8 43 TP8 2.10087852e+04

conv1 Left 0 13 44 P9 2.11772188e+04
conv1 Left 1 50 44 P9 3.33013398e+04
conv1 Left 2 12 44 P9 2.24702012e+04
conv1 Left 3 9 44 P9 1.49904238e+04
conv1 Left 4 40 44 P9 2.83760312e+04
conv1 Left 5 7 44 P9 2.90452793e+04
conv1 Left 6 41 44 P9 2.66896855e+04
conv1 Left 7 49 44 P9 2.81450938e+04
conv1 Left 8 3 44 P9 3.49179453e+04
conv1 Left 9 8 44 P9 2.12963789e+04

conv1 Left 0 13 45 P7 1.99756152e+04
conv1 Left 1 50 45 P7 3.13672305e+04
conv1 Left 2 12 45 P7 2.04574609e+04
conv1 Left 3 9 45 P7 1.41542705e+04
conv1 Left 4 40 45 P7 2.61211836e+04
conv1 Left 5 7 45 P7 2.74247539e+04
conv1 Left 6 41 45 P7 2.43918906e+04
conv1 Left 7 49 45 P7 2.62042441e+04
conv1 Left 8 3 45 P7 3.27622930e+04
conv1 Left 9 8 45 P7 1.95490039e+04

conv1 Left 0 13 46 P5 2.00451504e+04
conv1 Left 1 50 46 P5 3.14614355e+04
conv1 Left 2 12 46 P5 2.07514688e+04
conv1 Left 3 9 46 P5 1.41568818e+04
conv1 Left 4 40 46 P5 2.63841719e+04
conv1 Left 5 7 46 P5 2.75499453e+04
conv1 Left 6 41 46 P5 2.44732637e+04
conv1 Left 7 49 46 P5 2.63639434e+04
conv1 Left 8 3 46 P5 3.29832539e+04
conv1 Left 9 8 46 P5 1.97710586e+04

conv1 Left 0 13 47 P3 2.01297207e+04
conv1 Left 1 50 47 P3 3.15907539e+04
conv1 Left 2 12 47 P3 2.08486562e+04
conv1 Left 3 9 47 P3 1.42604082e+04
conv1 Left 4 40 47 P3 2.67502754e+04
conv1 Left 5 7 47 P3 2.76987969e+04
conv1 Left 6 41 47 P3 2.47706445e+04
conv1 Left 7 49 47 P3 2.66099160e+04
conv1 Left 8 3 47 P3 3.30994180e+04
conv1 Left 9 8 47 P3 1.98852773e+04

conv1 Left 0 13 48 P1 2.03685508e+04
conv1 Left 1 50 48 P1 3.18104824e+04
conv1 Left 2 12 48 P1 2.10106094e+04
conv1 Left 3 9 48 P1 1.44790498e+04
conv1 Left 4 40 48 P1 2.70603848e+04
conv1 Left 5 7 48 P1 2.79248359e+04
conv1 Left 6 41 48 P1 2.51564844e+04
conv1 Left 7 49 48 P1 2.69147734e+04
conv1 Left 8 3 48 P1 3.33899805e+04
conv1 Left 9 8 48 P1 2.00644551e+04

conv1 Left 0 13 49 Pz 2.01235039e+04
conv1 Left 1 50 49 Pz 3.14286328e+04
conv1 Left 2 12 49 Pz 2.05482891e+04
conv1 Left 3 9 49 Pz 1.41802305e+04
conv1 Left 4 40 49 Pz 2.64563906e+04
conv1 Left 5 7 49 Pz 2.76017109e+04
conv1 Left 6 41 49 Pz 2.45479668e+04
conv1 Left 7 49 49 Pz 2.63707051e+04
conv1 Left 8 3 49 Pz 3.29409453e+04
